household_id,district,province,urbanization_level,members_in_house,roofless_persons,roof_persons,income_lkr,computers_owned,dialog_subscriptions,slt_subscriptions,hutch_subscriptions,other_subscriptions,smartphone_count,electricity_available,has_4g_coverage,has_fiber_coverage,downlink_speed_mbps,uplink_speed_mbps,avg_monthly_broadband_bill_lkr,dialog_sentiment,slt_sentiment,hutch_sentiment,overall_bb_satisfaction_score,digital_literacy_score,ecommerce_usage_score,starlink_awareness,starlink_sentiment_score,starlink_prob_proxy,starlink_proxy_adoption
HH0000001,Nuwara Eliya,Central,Rural,2,0,2,157533.97,0,4,1,0,0,1,1,1,0,22.1,8.0,2787.85,0.196,0.013,-0.27,-0.02,0.59,0.28,0,0.303,0.0691,No
HH0000002,Ratnapura,Sabaragamuwa,Rural,3,0,3,101524.91,0,3,4,0,0,1,1,1,0,16.2,3.2,2608.01,-0.001,-0.143,0.386,0.081,0.48,0.24,1,0.176,0.112,No
HH0000003,Kurunegala,North-western,Rural,8,0,8,112607.74,1,10,2,3,1,4,1,0,0,12.2,3.5,2771.14,-0.057,0.221,-0.314,-0.05,0.52,0.11,1,0.281,0.2288,No
HH0000004,Batticaloa,Eastern,Rural,2,0,2,106269.39,0,4,1,0,0,2,1,1,0,20.0,5.4,2520.72,0.248,-0.029,-0.129,0.03,0.72,0.15,0,0.192,0.035,No
HH0000005,Gampaha,Western,Urban,5,0,5,193040.47,0,8,2,1,0,9,1,1,1,35.0,13.4,3913.03,0.287,0.311,0.328,0.309,0.83,0.32,1,0.327,0.1692,No
HH0000006,Gampaha,Western,Urban,1,0,1,279933.94,0,0,0,0,0,0,1,1,1,32.0,8.6,5017.07,0.287,0.311,0.328,0.309,0.82,0.42,1,0.327,0.4142,No
HH0000007,Colombo,Western,Urban,5,0,5,310279.0,2,4,2,2,0,3,1,1,0,21.9,9.8,3669.75,0.076,0.151,-0.016,0.07,0.89,0.46,1,0.565,0.4609,No
HH0000008,Badulla,Uva,Rural,3,0,3,193542.86,1,1,1,0,0,3,1,0,1,23.2,5.3,2807.04,0.096,0.056,-0.215,-0.021,0.38,0.02,0,0.285,0.0247,No
HH0000009,Batticaloa,Eastern,Rural,2,0,2,103800.44,0,1,0,0,0,1,1,1,1,15.0,7.0,2145.07,0.248,-0.029,-0.129,0.03,0.59,0.16,0,0.192,0.0036,No
HH0000010,Kurunegala,North-western,Rural,2,0,2,69263.36,0,2,0,1,0,2,1,1,0,21.4,5.4,2490.55,-0.057,0.221,-0.314,-0.05,0.52,0.16,0,0.281,0.0275,No
HH0000011,Colombo,Western,Urban,4,0,4,324514.74,1,6,2,1,0,7,1,1,0,21.1,8.3,5784.82,0.076,0.151,-0.016,0.07,0.84,0.34,0,0.565,0.6575,Yes
HH0000012,Kegalle,Sabaragamuwa,Rural,6,0,6,214765.68,0,6,1,0,1,6,1,1,0,18.1,5.1,2322.12,-0.025,0.034,-0.226,-0.072,0.65,0.0,0,-0.101,0.0223,No
HH0000013,Polonnaruwa,North-central,Rural,5,0,5,122912.63,1,8,3,6,0,4,1,1,0,23.9,10.6,2753.69,-0.134,-0.014,-0.243,-0.13,0.72,0.14,0,0.203,0.0807,No
HH0000014,Gampaha,Western,Urban,5,0,5,216487.23,0,4,1,2,0,3,1,1,1,24.0,7.5,4954.9,0.287,0.311,0.328,0.309,0.73,0.53,0,0.327,0.1861,No
HH0000015,Gampaha,Western,Urban,4,0,4,92734.31,0,8,3,1,0,2,1,0,1,31.0,6.9,6033.53,0.287,0.311,0.328,0.309,0.72,0.41,0,0.327,0.2658,No
HH0000016,Gampaha,Western,Urban,7,0,7,311941.86,2,6,1,2,1,11,1,1,1,17.3,11.0,4506.3,0.287,0.311,0.328,0.309,0.81,0.43,1,0.327,0.4001,No
HH0000017,Kandy,Central,Semi-Urban,6,0,6,159374.74,0,10,1,1,2,8,1,1,0,18.3,9.5,2952.77,-0.018,0.197,-0.178,0.0,0.56,0.08,0,0.028,0.0551,No
HH0000018,Hambantota,Southern,Rural,6,0,6,158918.69,0,6,3,0,0,1,1,1,0,16.7,4.1,2268.69,0.166,-0.112,0.131,0.062,0.59,0.2,0,0.435,0.0138,No
HH0000019,Galle,Southern,Semi-Urban,4,0,4,71401.14,0,3,0,1,1,3,1,1,0,17.7,4.1,2825.28,0.033,-0.026,-0.139,-0.044,0.87,0.39,0,0.346,0.0547,No
HH0000020,Kandy,Central,Semi-Urban,3,0,3,200010.29,0,5,0,1,1,1,1,1,1,17.2,8.0,3512.23,-0.018,0.197,-0.178,0.0,0.72,0.16,1,0.028,0.2237,No
HH0000021,Ampara,Eastern,Rural,6,0,6,175814.68,0,6,2,2,0,2,1,1,0,25.0,4.8,3164.13,0.259,0.17,-0.182,0.082,0.68,0.06,0,0.229,0.131,No
HH0000022,Gampaha,Western,Urban,6,0,6,292724.2,0,5,2,1,2,8,1,1,0,24.2,13.0,5490.31,0.287,0.311,0.328,0.309,0.75,0.42,0,0.327,0.4631,No
HH0000023,Kandy,Central,Semi-Urban,3,0,3,166090.41,0,2,3,1,1,2,1,1,1,27.5,8.6,3318.56,-0.018,0.197,-0.178,0.0,0.49,0.22,0,0.028,0.0352,No
HH0000024,Matale,Central,Rural,4,0,4,138554.5,0,2,1,1,0,3,1,1,0,17.7,6.0,2404.91,0.043,-0.288,-0.093,-0.113,0.53,0.25,1,0.488,0.0874,No
HH0000025,Matara,Southern,Semi-Urban,4,0,4,123028.44,0,1,1,0,0,3,1,1,0,23.5,3.7,4161.07,-0.062,-0.083,-0.003,-0.049,0.72,0.25,0,-0.099,0.3181,No
HH0000026,Anuradhapura,North-central,Rural,1,0,1,76881.59,0,1,0,0,0,1,1,1,0,18.7,3.8,2296.42,-0.166,-0.084,0.269,0.006,0.6,0.14,0,-0.263,0.0149,No
HH0000027,Gampaha,Western,Urban,4,0,4,250945.94,0,5,2,1,1,7,1,1,1,24.2,8.8,3817.68,0.287,0.311,0.328,0.309,0.94,0.48,0,0.327,0.0766,No
HH0000028,Hambantota,Southern,Rural,3,0,3,199562.4,0,6,2,1,0,3,1,1,0,17.0,3.7,3017.55,0.166,-0.112,0.131,0.062,0.6,0.18,0,0.435,0.1171,No
HH0000029,Batticaloa,Eastern,Rural,4,0,4,63683.56,0,1,1,0,0,7,1,0,0,18.7,6.3,2446.64,0.248,-0.029,-0.129,0.03,0.5,0.0,1,0.192,0.0681,No
HH0000030,Colombo,Western,Urban,1,0,1,380747.54,1,2,2,0,0,0,1,1,1,16.5,9.9,4778.77,0.076,0.151,-0.016,0.07,0.83,0.46,0,0.565,0.2959,No
HH0000031,Ampara,Eastern,Rural,2,0,2,189158.01,0,3,3,0,0,2,1,1,0,12.8,6.1,2359.18,0.259,0.17,-0.182,0.082,0.61,0.12,0,0.229,0.0215,No
HH0000032,Gampaha,Western,Urban,4,0,4,284012.39,1,5,0,2,0,5,1,1,1,28.6,11.9,3869.83,0.287,0.311,0.328,0.309,0.86,0.35,1,0.327,0.194,No
HH0000033,Colombo,Western,Urban,5,0,5,187232.52,1,7,2,0,0,5,1,1,0,15.9,9.4,5197.71,0.076,0.151,-0.016,0.07,0.87,0.5,0,0.565,0.6005,Yes
HH0000034,Ratnapura,Sabaragamuwa,Rural,5,0,5,77526.4,0,5,2,3,1,2,1,1,1,19.3,6.3,2974.43,-0.001,-0.143,0.386,0.081,0.75,0.12,0,0.176,0.0447,No
HH0000035,Kegalle,Sabaragamuwa,Rural,2,0,2,125268.04,0,3,2,0,0,1,1,1,0,18.8,3.1,2387.25,-0.025,0.034,-0.226,-0.072,0.51,0.07,0,-0.101,0.0232,No
HH0000036,Anuradhapura,North-central,Rural,5,0,5,153758.55,0,6,3,1,0,5,1,1,0,15.9,4.7,2212.9,-0.166,-0.084,0.269,0.006,0.57,0.19,0,-0.263,0.0122,No
HH0000037,Kandy,Central,Semi-Urban,4,0,4,160991.24,0,3,1,0,0,8,1,1,0,21.0,3.0,3193.81,-0.018,0.197,-0.178,0.0,0.67,0.26,0,0.028,0.0916,No
HH0000038,Colombo,Western,Urban,2,0,2,222352.42,0,1,1,0,0,2,1,1,1,27.5,8.7,4728.83,0.076,0.151,-0.016,0.07,0.89,0.32,0,0.565,0.2346,No
HH0000039,Kurunegala,North-western,Rural,1,0,1,176099.84,0,1,0,0,0,0,1,0,0,18.2,5.1,2260.95,-0.057,0.221,-0.314,-0.05,0.58,0.2,0,0.281,0.0156,No
HH0000040,Galle,Southern,Semi-Urban,2,0,2,180088.53,0,2,2,0,0,2,1,1,0,25.0,6.3,2683.41,0.033,-0.026,-0.139,-0.044,0.71,0.15,0,0.346,0.0296,No
HH0000041,Gampaha,Western,Urban,5,0,5,203715.36,0,4,3,3,0,10,1,1,1,22.2,10.6,3859.2,0.287,0.311,0.328,0.309,0.74,0.14,0,0.327,0.0696,No
HH0000042,Hambantota,Southern,Rural,2,0,2,167314.57,0,2,1,2,0,1,1,1,0,10.5,3.8,2750.63,0.166,-0.112,0.131,0.062,0.7,0.11,0,0.435,0.0827,No
HH0000043,Colombo,Western,Urban,6,0,6,258072.64,0,9,3,2,0,6,1,1,1,19.2,6.9,4038.71,0.076,0.151,-0.016,0.07,0.87,0.4,0,0.565,0.1546,No
HH0000044,Ratnapura,Sabaragamuwa,Rural,1,0,1,118859.36,0,0,1,0,1,2,1,1,0,15.4,8.0,2565.43,-0.001,-0.143,0.386,0.081,0.59,0.33,0,0.176,0.0373,No
HH0000045,Kalutara,Western,Semi-Urban,5,0,5,215432.27,0,6,3,0,0,3,1,1,0,25.0,6.5,2456.74,0.024,0.114,0.232,0.123,0.65,0.35,0,0.097,0.0105,No
HH0000046,Kurunegala,North-western,Rural,3,0,3,109636.88,0,5,3,0,0,2,1,1,0,18.9,4.0,2949.99,-0.057,0.221,-0.314,-0.05,0.58,0.07,0,0.281,0.1096,No
HH0000047,Kandy,Central,Semi-Urban,3,0,3,153810.65,1,2,0,0,0,4,1,1,0,21.9,9.3,2795.08,-0.018,0.197,-0.178,0.0,0.8,0.36,0,0.028,0.043,No
HH0000048,Hambantota,Southern,Rural,6,0,6,138204.38,1,7,6,3,0,3,1,1,0,13.4,5.6,1926.33,0.166,-0.112,0.131,0.062,0.42,0.17,0,0.435,0.0026,No
HH0000049,Jaffna,Northern,Semi-Urban,2,0,2,73427.47,0,3,2,0,0,4,1,1,0,25.0,7.9,2251.78,0.064,0.05,-0.159,-0.015,0.68,0.14,0,0.341,0.0059,No
HH0000050,Gampaha,Western,Urban,2,0,2,163098.82,0,4,0,1,0,4,1,1,1,21.6,4.5,3775.94,0.287,0.311,0.328,0.309,0.75,0.23,1,0.327,0.1832,No
HH0000051,Kegalle,Sabaragamuwa,Rural,3,0,3,113515.45,0,4,4,0,0,2,1,1,0,15.2,4.0,2233.74,-0.025,0.034,-0.226,-0.072,0.62,0.21,0,-0.101,0.0159,No
HH0000052,Puttalam,North-western,Rural,8,0,8,246343.35,0,8,2,0,2,8,1,1,0,16.4,3.3,2635.72,0.219,-0.003,-0.27,-0.018,0.58,0.05,0,0.544,0.0546,No
HH0000053,Ratnapura,Sabaragamuwa,Rural,4,0,4,115825.41,1,6,4,1,1,5,1,1,0,17.5,5.3,2436.32,-0.001,-0.143,0.386,0.081,0.75,0.09,0,0.176,0.0273,No
HH0000054,Monaragala,Uva,Rural,2,0,2,98486.51,0,2,1,0,0,0,1,1,1,17.8,4.6,2741.82,-0.059,0.046,0.226,0.071,0.5,0.39,0,0.309,0.0219,No
HH0000055,Batticaloa,Eastern,Rural,4,0,4,59447.57,1,7,3,0,0,2,1,1,0,19.6,4.6,2340.04,0.248,-0.029,-0.129,0.03,0.54,0.09,1,0.192,0.0478,No
HH0000056,Ratnapura,Sabaragamuwa,Rural,5,0,5,145154.39,1,10,2,0,0,2,1,1,0,19.9,6.1,2461.0,-0.001,-0.143,0.386,0.081,0.6,0.18,1,0.176,0.0766,No
HH0000057,Colombo,Western,Urban,3,0,3,319601.85,0,2,3,1,2,2,1,1,1,24.1,8.0,5093.6,0.076,0.151,-0.016,0.07,0.95,0.29,0,0.565,0.3317,No
HH0000058,Gampaha,Western,Urban,3,0,3,96328.79,0,5,2,1,1,6,1,1,1,24.8,8.7,4152.39,0.287,0.311,0.328,0.309,0.82,0.32,0,0.327,0.0928,No
HH0000059,Colombo,Western,Urban,8,0,8,191479.96,2,6,1,1,1,11,1,1,1,23.6,7.0,5280.14,0.076,0.151,-0.016,0.07,0.73,0.44,1,0.565,0.6017,Yes
HH0000060,Kandy,Central,Semi-Urban,4,0,4,190595.51,1,8,1,0,0,5,1,1,0,25.0,6.8,2952.88,-0.018,0.197,-0.178,0.0,0.66,0.23,1,0.028,0.1519,No
